vocabJapan,vocabKana,vocabTranslation,partOfSpeech,vocabFurigana,sentenceJapanese,sentenceTranslation,sentenceFurigana,notesKanjified,vocabPitch
円,えん,circle,noun,円[えん],そこに大きな円を描いて。,Draw a big circle there.,そこに 大[おお]きな<b> 円[えん]</b>を 描[か]いて。,円,1
時,とき,"time, moment",noun,時[とき],時の経つのは早い。,Time flies.,<b> 時[とき]</b>の 経[た]つのは 早[はや]い。,時,2
時々,ときどき,sometimes,adverb,時々[ときどき],彼は時々遅刻します。,He's sometimes late.,彼[かれ]は<b> 時々[ときどき]</b> 遅刻[ちこく]します。,時々,
日,にち,counter for days,noun,日[にち],私たちは先月１１日に結婚しました。,We got married on the 11th last month.,私[わたし]たちは 先月[せんげつ]１１<b> 日[にち]</b>に 結婚[けっこん]しました。,日,
あと,あと,after,noun,あと,仕事のあと、映画を見た。,I saw a movie after work.,仕事[しごと]の<b>あと</b>、 映画[えいが]を 見[み]た。,後,1
六日,むいか,"six days, sixth of the month",noun,六日[むいか],六日前に日本に帰ってきました。,I came back to Japan six days ago.,<b> 六日[むいか]</b> 前[まえ]に 日本[にほん]に 帰[かえ]ってきました。,六日,0
五日,いつか,"five days, fifth of the month",noun,五日[いつか],五月五日は祝日です。,May 5th is a holiday.,五月[ごがつ]<b> 五日[いつか]</b>は 祝日[しゅくじつ]です。,五日,3 0
八日,ようか,"eight days, eighth of the month",noun,八日[ようか],八日からイギリスに行きます。,I will go to England on the eighth.,<b> 八日[ようか]</b>からイギリスに 行[い]きます。,八日,0
二十日,はつか,"20 days, 20th of the month",noun,二十日[はつか],来月の二十日は弟の誕生日です。,The 20th of next month is my little brother's birthday.,来月[らいげつ]の<b> 二十日[はつか]</b>は 弟[おとうと]の 誕生日[たんじょうび]です。,二十日,0
二日,ふつか,"two days, second of the month",noun,二日[ふつか],私は二日待った。,I waited two days.,私[わたし]は<b> 二日[ふつか]</b> 待[ま]った。,二日,0
そう,そう,"so, that way",adverb,そう,私もそう思います。,That's what I think too.,私[わたし]も<b>そう</b> 思[おも]います。,そう,1
三日,みっか,"three days, third of the month",noun,三日[みっか],手紙が届くのに三日かかりました。,It took three days for the letter to arrive.,手紙[てがみ]が 届[とど]くのに<b> 三日[みっか]</b>かかりました。,三日,0
十日,とおか,"ten days, tenth of the month",noun,十日[とおか],十日後に帰ります。,I'll be back in ten days.,<b> 十日[とおか]</b> 後[ご]に 帰[かえ]ります。,十日,0
一日,ついたち,first of the month,noun,一日[ついたち],来月の一日は空いていますか。,Are you available on the first of next month?,来月[らいげつ]の<b> 一日[ついたち]</b>は 空[あ]いていますか。,一日,4
九日,ここのか,"nine days, ninth of the month",noun,九日[ここのか],九日に荷物が届きます。,The package will arrive on the ninth.,<b> 九日[ここのか]</b>に 荷物[にもつ]が 届[とど]きます。,九日,4
四日,よっか,"four days, fourth of the month",noun,四日[よっか],新学期は来月の四日からです。,The new school term starts on the fourth of next month.,新[しん] 学期[がっき]は 来月[らいげつ]の<b> 四日[よっか]</b>からです。,四日,0
もう,もう,"already, yet",adverb,もう,彼はもう帰りました。,He's already gone home.,彼[かれ]は<b>もう</b> 帰[かえ]りました。,もう,1;1 0
七日,なのか,"seven days, seventh of the month",noun,七日[なのか],先月の七日に孫が生まれました。,My grandchild was born on the seventh of last month.,先月[せんげつ]の<b> 七日[なのか]</b>に 孫[まご]が 生[う]まれました。,七日,0
日時,にちじ,date and time,noun,日時[にちじ],試写会の日時を教えてください。,Please tell me the date of the sneak preview.,試写[ししゃ] 会[かい]の<b> 日時[にちじ]</b>を 教[おし]えてください。,日時,1
月,つき,moon,noun,月[つき],今夜は月がとてもきれいです。,The moon looks so beautiful tonight.,今夜[こんや]は<b> 月[つき]</b>がとてもきれいです。,月,2
火,ひ,fire,noun,火[ひ],火を消して。,Put out the fire.,<b> 火[ひ]</b>を 消[け]して。,火,1
水,みず,water,noun,水[みず],水を一杯ください。,Please give me a glass of water.,<b> 水[みず]</b>を 一杯[いっぱい]ください。,水,0
どうぞ,どうぞ,please,adverb,どうぞ,こちらへどうぞ。,This way please.,こちらへ<b>どうぞ</b>。,どうぞ,1
木,き,"tree, wood",noun,木[き],台風で木が倒れた。,A tree fell down in the typhoon.,台風[たいふう]で<b> 木[き]</b>が 倒[たお]れた。,木,1
金,かね,money,noun,金[かね],これはかなり金がかかった。,This cost quite a lot of money.,これはかなり<b> 金[かね]</b>がかかった。,金,0
日曜日,にちようび,Sunday,noun,日曜日[にちようび],日曜日は海に行きました。,We went to the beach on Sunday.,<b> 日曜日[にちようび]</b>は 海[うみ]に 行[い]きました。,日曜日,3
土曜日,どようび,Saturday,noun,土曜日[どようび],土曜日の夜はクラブに行きます。,I'm going to a club Saturday night.,<b> 土曜日[どようび]</b>の 夜[よる]はクラブに 行[い]きます。,土曜日,2
金曜日,きんようび,Friday,noun,金曜日[きんようび],金曜日の夜は友達と出かけます。,I go out with my friends on Friday nights.,<b> 金曜日[きんようび]</b>の 夜[よる]は 友達[ともだち]と 出[で]かけます。,金曜日,3
よく,よく,"often, well",adverb,よく,彼女はよく旅行に行きます。,She often goes on holiday.,彼女[かのじょ]は<b>よく</b> 旅行[りょこう]に 行[い]きます。,よく,1;2;0 1
月曜日,げつようび,Monday,noun,月曜日[げつようび],月曜日に会いましょう。,Let's meet on Monday.,<b> 月曜日[げつようび]</b>に 会[あ]いましょう。,月曜日,3
木曜日,もくようび,Thursday,noun,木曜日[もくようび],木曜日は仕事が休みです。,I don't have work on Thursday.,<b> 木曜日[もくようび]</b>は 仕事[しごと]が 休[やす]みです。,木曜日,3
曜日,ようび,day of the week,noun,曜日[ようび],曜日を間違えました。,I got the day of the week wrong.,<b> 曜日[ようび]</b>を 間違[まちが]えました。,曜日,0
火曜日,かようび,Tuesday,noun,火曜日[かようび],火曜日に会議があります。,There's a meeting on Tuesday.,<b> 火曜日[かようび]</b>に 会議[かいぎ]があります。,火曜日,2
水曜日,すいようび,Wednesday,noun,水曜日[すいようび],水曜日はバイトがあります。,I work part time on Wednesdays.,<b> 水曜日[すいようび]</b>はバイトがあります。,水曜日,3
週,しゅう,week,noun,週[しゅう],その次の週は空いてますか。,Will you be available the following week?,その 次[つぎ]の<b> 週[しゅう]</b>は 空[あ]いてますか。,週,1
どう,どう,"how, what",interrogative,どう,あなたはどう思いますか。,What do you think?,あなたは<b>どう</b> 思[おも]いますか。,どう,1
年,とし,"year, age",noun,年[とし],新しい年が始まりました。,A new year has started.,新[あたら]しい<b> 年[とし]</b>が 始[はじ]まりました。,年,2
分かる,わかる,understand,verb,分[わ]かる,質問の意味は分かりましたか。,Did you understand the meaning of the question?,質問[しつもん]の 意味[いみ]は<b> 分[わ]かりました</b>か。,分かる,2
十分,じゅうぶん,"enough, plentiful",adjectival noun,十分[じゅうぶん],お金はまだ十分あります。,We still have plenty of money.,お 金[かね]はまだ<b> 十分[じゅうぶん]</b>あります。,十分,3
分,ぶん,"amount, share",noun,分[ぶん],このケーキはあなたの分です。,This is your share of the cake.,このケーキはあなたの<b> 分[ぶん]</b>です。,分,1
分ける,わける,"divide, share",verb,分[わ]ける,お菓子をみんなで分けました。,We shared the sweets with everyone.,お 菓子[かし]をみんなで<b> 分[わ]けました</b>。,分ける,2
あげる,あげる,give,verb,あげる,この本、あなたにあげます。,I'll give you this book.,この 本[ほん]、あなたに<b>あげます</b>。,あげる,0
分かれる,わかれる,"be divided, split off",verb,分[わ]かれる,グループの中で意見が分かれました。,Opinion was divided within the group.,グループの 中[なか]で 意見[いけん]が<b> 分[わ]かれました</b>。,分かれる,3
何,なに,what,interrogative,何[なに],夕食には何を食べたいですか。,What would you like to eat for dinner?,夕食[ゆうしょく]には<b> 何[なに]</b>を 食[た]べたいですか。,何,1
何,なん,"what (used with t, d, n consonants and counters)",interrogative,何[なん],質問は何ですか。,What's your question?,質問[しつもん]は<b> 何[なん]</b>ですか。,何,
何か,なにか,"something, some",pronoun,何[なに]か,道に何か落ちています。,Something has fallen on the road.,道[みち]に<b> 何[なに]か</b> 落[お]ちています。,何か,
先,さき,"ahead, first",noun,先[さき],お先にどうぞ。,Please go ahead.,お<b> 先[さき]</b>にどうぞ。,先,0
こう,こう,"like this, such",adverb,こう,こう小さい字は読めない。,I can't read such small letters.,<b>こう</b> 小[ちい]さい 字[じ]は 読[よ]めない。,こう,1
先ず,まず,"first of all, to begin with",adverb,先[ま]ず,帰ったら先ず手を洗いましょう。,"When you get home, wash your hands first.",帰[かえ]ったら<b> 先[ま]ず</b> 手[て]を 洗[あら]いましょう。,先ず,1
先週,せんしゅう,last week,noun,先週[せんしゅう],先週は海に行った。,I went to the beach last week.,<b> 先週[せんしゅう]</b>は 海[うみ]に 行[い]った。,先週,0
今,いま,now,adverb,今[いま],彼は今、勉強しています。,He's studying now.,彼[かれ]は<b> 今[いま]</b>、 勉強[べんきょう]しています。,今,
今年,ことし,this year,noun,今年[ことし],今年はイタリアに旅行したい。,I want to travel to Italy this year.,<b> 今年[ことし]</b>はイタリアに 旅行[りょこう]したい。,今年,0
今日,きょう,today,noun,今日[きょう],今日は仕事がありません。,I don't have work today.,<b> 今日[きょう]</b>は 仕事[しごと]がありません。,今日,1
くれる,くれる,be given,verb,くれる,友達が誕生日プレゼントをくれた。,My friend gave me a birthday present.,友達[ともだち]が 誕生[たんじょう] 日[び]プレゼントを<b>くれた</b>。,呉れる,0
今月,こんげつ,this month,noun,今月[こんげつ],今月はとても忙しい。,I'm very busy this month.,<b> 今月[こんげつ]</b>はとても 忙[いそが]しい。,今月,0
今週,こんしゅう,this week,noun,今週[こんしゅう],今週は日本語のテストがあります。,We have a Japanese test this week.,<b> 今週[こんしゅう]</b>は 日本語[にほんご]のテストがあります。,今週,0
来る,くる,come,verb,来[く]る,彼は昼すぎに来ます。,He'll come after lunch.,彼[かれ]は 昼[ひる]すぎに<b> 来[き]ます</b>。,来る,1
来年,らいねん,next year,noun,来年[らいねん],来年一緒に旅行しましょう。,Let's travel together next year.,<b> 来年[らいねん]</b> 一緒[いっしょ]に 旅行[りょこう]しましょう。,来年,0
来週,らいしゅう,next week,noun,来週[らいしゅう],続きは来週やりましょう。,We'll continue this next week.,続[つづ]きは<b> 来週[らいしゅう]</b>やりましょう。,来週,0
どこ,どこ,where,interrogative,どこ,あの本をどこに置きましたか。,Where did you put that book?,あの 本[ほん]を<b>どこ</b>に 置[お]きましたか。,どこ,1
来月,らいげつ,next month,noun,来月[らいげつ],来月から大学生になります。,I'll be a college student next month.,<b> 来月[らいげつ]</b>から 大学生[だいがくせい]になります。,来月,1
行く,いく,go,verb,行[い]く,日曜日は図書館に行きます。,I go to the library on Sundays.,日曜日[にちようび]は 図書館[としょかん]に<b> 行[い]きます</b>。,行く,0
帰る,かえる,go back home,verb,帰[かえ]る,家に帰ろう。,Let's go home.,家[うち]に<b> 帰[かえ]ろう</b>。,帰る,1
大きい,おおきい,big,adjective,大[おお]きい,あの大きい建物は何ですか。,What's that big building?,あの<b> 大[おお]きい</b> 建物[たてもの]は 何[なん]ですか。,大きい,
大きさ,おおきさ,"size, dimension",noun,大[おお]きさ,この大きさの封筒が欲しいのですが。,I'd like an envelope of this size.,この<b> 大[おお]きさ</b>の 封筒[ふうとう]が 欲[ほ]しいのですが。,大きさ,0
もっと,もっと,more,adverb,もっと,もっと近くに来てください。,Please come closer.,<b>もっと</b> 近[ちか]くに 来[き]てください。,もっと,1
中,なか,"inside, middle",noun,中[なか],父は家の中にいます。,My father is inside the house.,父[ちち]は 家[いえ]の<b> 中[なか]</b>にいます。,中,1
小さい,ちいさい,small,adjective,小[ちい]さい,小さい花が咲いています。,Small flowers are blooming.,<b> 小[ちい]さい</b> 花[はな]が 咲[さ]いています。,小さい,3
少ない,すくない,"few, little",adjective,少[すく]ない,今年は雨が少ないです。,There's not much rain this year.,今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。,少ない,3
少し,すこし,"a bit, a little while",adverb,少[すこ]し,少し疲れました。,I'm a little tired.,<b> 少[すこ]し</b> 疲[つか]れました。,少し,2
少年,しょうねん,boy (between 7 and 18 years old),noun,少年[しょうねん],少年たちがサッカーをしている。,The boys are playing soccer.,<b> 少年[しょうねん]</b>たちがサッカーをしている。,少年,0
そこ,そこ,there,pronoun,そこ,そこに座ってください。,Please sit there.,<b>そこ</b>に 座[すわ]ってください。,そこ,0
多い,おおい,"a lot of, many",adjective,多[おお]い,京都にはお寺が多い。,There are a lot of temples in Kyoto.,京都[きょうと]にはお 寺[てら]が<b> 多[おお]い</b>。,多い,1 2
多分,たぶん,"probably, perhaps",adverb,多分[たぶん],彼女は多分家で寝ています。,She's probably sleeping at home.,彼女[かのじょ]は<b> 多分[たぶん]</b> 家[いえ]で 寝[ね]ています。,多分,
多く,おおく,"much, largely",noun,多[おお]く,毎年多くの人が海外へ旅行する。,A lot of people travel abroad every year.,毎年[まいとし]<b> 多[おお]く</b>の 人[ひと]が 海外[かいがい]へ 旅行[りょこう]する。,多く,1
上げる,あげる,"raise, lift",verb,上[あ]げる,彼は荷物をあみだなに上げた。,He put the luggage on the rack.,彼[かれ]は 荷物[にもつ]をあみだなに<b> 上[あ]げた</b>。,上げる,0
上る,のぼる,"go up, climb",verb,上[のぼ]る,猫が屋根に上っている。,The cat's up on the roof.,猫[ねこ]が 屋根[やね]に<b> 上[のぼ]って</b>いる。,上る,0
とても,とても,very,adverb,とても,この本はとてもおもしろい。,This book is very interesting.,この 本[ほん]は<b>とても</b>おもしろい。,とても,0
上,うえ,"up, above",noun,上[うえ],上を向いて。,Look up.,<b> 上[うえ]</b>を 向[む]いて。,上,
上がる,あがる,"go up, rise (physical movement)",verb,上[あ]がる,私たちは２階に上がった。,We went up to the second floor.,私[わたし]たちは２ 階[かい]に<b> 上[あ]がった</b>。,上がる,0
年上,としうえ,"older, senior",noun,年上[としうえ],彼は私より年上です。,He's older than me.,彼[かれ]は 私[わたし]より<b> 年上[としうえ]</b>です。,年上,0
下,した,"under, below",noun,下[した],財布は机の下にあった。,My purse was under the desk.,財布[さいふ]は 机[つくえ]の<b> 下[した]</b>にあった。,下,0
下りる,おりる,"go down, come down",verb,下[お]りる,そこの階段を下りてください。,Please go down those stairs.,そこの 階段[かいだん]を<b> 下[お]りて</b>ください。,下りる,2
あなた,あなた,you,pronoun,あなた,これはあなたのかばんですか。,Is this your bag?,これは<b>あなた</b>のかばんですか。,貴方,
下げる,さげる,"lower, turn down",verb,下[さ]げる,少し音量を下げてください。,Please turn the volume down a little.,少[すこ]し 音量[おんりょう]を<b> 下[さ]げて</b>ください。,下げる,2
右,みぎ,right,noun,右[みぎ],右のポケットにハンカチが入っています。,I have a handkerchief in my right pocket.,<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。,右,0
左,ひだり,left,noun,左[ひだり],そこを左に曲がってください。,Please turn left there.,そこを<b> 左[ひだり]</b>に 曲[ま]がってください。,左,0
方,ほう,"direction, side",noun,方[ほう],彼は私の方を見ました。,He looked at me.,彼[かれ]は 私[わたし]の<b> 方[ほう]</b>を 見[み]ました。,方,1
方,かた,person (polite form),noun,方[かた],次の方、どうぞ。,Next please.,次[つぎ]の<b> 方[かた]</b>、どうぞ。,方,
どれ,どれ,"what, which",interrogative,どれ,この中でどれが好きですか。,Which of these do you like?,この 中[なか]で<b>どれ</b>が 好[す]きですか。,どれ,1
大人,おとな,adult,noun,大人[おとな],大人の言うことを聞きなさい。,Listen to what adults say.,<b> 大人[おとな]</b>の 言[い]うことを 聞[き]きなさい。,大人,0
人,ひと,person,noun,人[ひと],彼は優しい人です。,He's a nice guy.,彼[かれ]は 優[やさ]しい<b> 人[ひと]</b>です。,人,0
一人,ひとり,one person,noun,一人[ひとり],そこには私一人しかいなかった。,I was the only one there.,そこには 私[わたし]<b> 一人[ひとり]</b>しかいなかった。,一人,2
大人しい,おとなしい,"gentle, quiet",adjective,大人[おとな]しい,私の彼女はとても大人しいです。,My girlfriend's very quiet.,私[わたし]の 彼女[かのじょ]はとても<b> 大人[おとな]しい</b>です。,大人しい,4
一人で,ひとりで,"by oneself, alone",adverb,一人[ひとり]で,今日は一人で映画を見ます。,I'm going to see a movie alone today.,今日[きょう]は<b> 一人[ひとり]で</b> 映画[えいが]を 見[み]ます。,一人で,
二人,ふたり,two persons,noun,二人[ふたり],今日は妻と二人で食事をします。,"Today I'm having dinner with my wife, just the two of us.",今日[きょう]は 妻[つま]と<b> 二人[ふたり]</b>で 食事[しょくじ]をします。,二人,3
いつも,いつも,always (colloquial),adverb,いつも,彼女はいつも元気だ。,She's always full of energy.,彼女[かのじょ]は<b>いつも</b> 元気[げんき]だ。,何時も,1
入れる,いれる,put in,verb,入[い]れる,彼はかばんに手帳を入れた。,He put the notebook in his bag.,彼[かれ]はかばんに 手帳[てちょう]を<b> 入[い]れた</b>。,入れる,0
入る,はいる,enter,verb,入[はい]る,寒いので中に入ってください。,"It's cold, so please come inside.",寒[さむ]いので 中[なか]に<b> 入[はい]って</b>ください。,入る,1
出る,でる,"go out, leave",verb,出[で]る,今朝は早く家を出ました。,I left the house early this morning.,今朝[けさ]は 早[はや]く 家[いえ]を<b> 出[で]ました</b>。,出る,1
出す,だす,take out,verb,出[だ]す,彼はかばんから教科書を出した。,He took the textbook out of his bag.,彼[かれ]はかばんから 教科書[きょうかしょ]を<b> 出[だ]した</b>。,出す,1
外,そと,"outside, open air",noun,外[そと],外は暑いよ。,It's hot outside.,<b> 外[そと]</b>は 暑[あつ]いよ。,外,1
みんな,みんな,everybody,noun,みんな,みんなにお菓子をあげましょう。,Let's give everyone some sweets.,<b>みんな</b>にお 菓子[かし]をあげましょう。,皆,3
本,ほん,"book, volume",noun,本[ほん],本を１冊買いました。,I bought one book.,<b> 本[ほん]</b>を１ 冊[さつ] 買[か]いました。,本,
休む,やすむ,"take a rest, take a break",verb,休[やす]む,明日、会社を休みます。,I'm off work tomorrow.,明日[あした]、 会社[かいしゃ]を<b> 休[やす]みます</b>。,休む,2
休み,やすみ,"rest, holiday",noun,休[やす]み,今日は休みです。,Today is a holiday.,今日[きょう]は<b> 休[やす]み</b>です。,休み,3
体,からだ,"body, physique",noun,体[からだ],私は体が丈夫だ。,I'm physically strong.,私[わたし]は<b> 体[からだ]</b>が 丈夫[じょうぶ]だ。,体,0
力,ちから,"strength, power",noun,力[ちから],お相撲さんは、みんな力持ちだ。,All sumo wrestlers are strong.,お 相撲[すもう]さんは、みんな<b> 力[ちから]</b> 持[も]ちだ。,力,3
できる,できる,"can do, be good at",verb,できる,彼女はイタリア語ができます。,She can speak Italian.,彼女[かのじょ]はイタリア 語[ご]が<b>できます</b>。,出来る,0;2
目,め,eye,noun,目[め],彼女は青い目をしています。,She has blue eyes.,彼女[かのじょ]は 青[あお]い<b> 目[め]</b>をしています。,目,
口,くち,mouth,noun,口[くち],口を大きく開けてください。,"Open wide, please.",<b> 口[くち]</b>を 大[おお]きく 開[あ]けてください。,口,
耳,みみ,ear,noun,耳[みみ],彼女は耳がよく聞こえません。,Her hearing isn't very good.,彼女[かのじょ]は<b> 耳[みみ]</b>がよく 聞[き]こえません。,耳,2
上手,じょうず,"good, skilled",adjectival noun,上手[じょうず],妹は歌が上手です。,My little sister can sing well.,妹[いもうと]は 歌[うた]が<b> 上手[じょうず]</b>です。,上手,3
手,て,hand,noun,手[て],分かった人は手を上げてください。,Raise your hand if you know the answer.,分[わ]かった 人[ひと]は<b> 手[て]</b>を 上[あ]げてください。,手,
どちら,どちら,which,interrogative,どちら,肉と魚とどちらが好きですか。,"Which do you prefer, meat or fish?",肉[にく]と 魚[さかな]と<b>どちら</b>が 好[す]きですか。,どちら,1
下手,へた,not good at,adjectival noun,下手[へた],私は歌が下手だ。,I'm a terrible singer.,私[わたし]は 歌[うた]が<b> 下手[へた]</b>だ。,下手,2
足,あし,"leg, foot",noun,足[あし],彼は足が長い。,He has long legs.,彼[かれ]は<b> 足[あし]</b>が 長[なが]い。,足,2
山,やま,mountain,noun,山[やま],山の空気はきれいだ。,The mountain air is clean.,<b> 山[やま]</b>の 空気[くうき]はきれいだ。,山,
川,かわ,"river, stream",noun,川[かわ],小さな川を渡りました。,I crossed a small stream.,小[ちい]さな<b> 川[かわ]</b>を 渡[わた]りました。,川,2
空く,すく,"be empty, become less crowded",verb,空[す]く,レストランは空いていました。,There weren't many people at the restaurant.,レストランは<b> 空[す]いて</b>いました。,空く,0
ドア,どあ,door,noun,ドア,ドアを開けてください。,Please open the door.,<b>ドア</b>を 開[あ]けてください。,ドア,1
空,そら,sky,noun,空[そら],空の写真を撮るのが好きです。,I like to take photographs of the sky.,<b> 空[そら]</b>の 写真[しゃしん]を 撮[と]るのが 好[す]きです。,空,1
海,うみ,"sea, ocean",noun,海[うみ],海は広くて大きい。,The sea is vast and wide.,<b> 海[うみ]</b>は 広[ひろ]くて 大[おお]きい。,海,1
海外,かいがい,"overseas, abroad",noun,海外[かいがい],彼は海外での生活が長いです。,He's lived abroad for a long time.,彼[かれ]は<b> 海外[かいがい]</b>での 生活[せいかつ]が 長[なが]いです。,海外,1
毎月,まいつき,every month,noun,毎月[まいつき],私は毎月貯金をしています。,I save money every month.,私[わたし]は<b> 毎月[まいつき]</b> 貯金[ちょきん]をしています。,毎月,0
毎日,まいにち,every day,noun,毎日[まいにち],私たちは毎日散歩をします。,We go for a walk every day.,私[わたし]たちは<b> 毎日[まいにち]</b> 散歩[さんぽ]をします。,毎日,1
やる,やる,"do, give",verb,やる,一緒に宿題をやろう。,Let's do our homework together.,一緒[いっしょ]に 宿題[しゅくだい]を<b>やろう</b>。,やる,0
毎年,まいとし,every year (colloquial),noun,毎年[まいとし],私は毎年、海外旅行に行きます。,I travel abroad every year.,私[わたし]は<b> 毎年[まいとし]</b>、 海外[かいがい] 旅行[りょこう]に 行[い]きます。,毎年,0
花,はな,flower,noun,花[はな],きれいな花が咲きました。,Beautiful flowers have bloomed.,きれいな<b> 花[はな]</b>が 咲[さ]きました。,花,2
森,もり,forest,noun,森[もり],私は森を歩くのが好きです。,I like to walk in the forest.,私[わたし]は<b> 森[もり]</b>を 歩[ある]くのが 好[す]きです。,森,0
男,おとこ,"man, male",noun,男[おとこ],男の人が私たちに話しかけた。,This guy began talking to us.,<b> 男[おとこ]</b>の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。,男,3
